,id,label
0,../../data/ava/dataset/train\780469.jpg,0.0
1,../../data/ava/dataset/train\498507.jpg,0.0
2,../../data/ava/dataset/train\296019.jpg,0.0
3,../../data/ava/dataset/train\441688.jpg,0.0
4,../../data/ava/dataset/train\300822.jpg,0.0
5,../../data/ava/dataset/train\200586.jpg,0.0
6,../../data/ava/dataset/train\127472.jpg,0.0
7,../../data/ava/dataset/train\529052.jpg,0.0
8,../../data/ava/dataset/train\52937.jpg,0.0
9,../../data/ava/dataset/train\413585.jpg,0.0
10,../../data/ava/dataset/train\376610.jpg,0.0
11,../../data/ava/dataset/train\101408.jpg,0.0
12,../../data/ava/dataset/train\858923.jpg,0.0
13,../../data/ava/dataset/train\556528.jpg,0.0
14,../../data/ava/dataset/train\267095.jpg,0.0
15,../../data/ava/dataset/train\80715.jpg,0.0
16,../../data/ava/dataset/train\912131.jpg,0.0
17,../../data/ava/dataset/train\400662.jpg,0.0
18,../../data/ava/dataset/train\402055.jpg,0.0
19,../../data/ava/dataset/train\894.jpg,0.0
20,../../data/ava/dataset/train\558272.jpg,0.0
21,../../data/ava/dataset/train\879542.jpg,0.0
22,../../data/ava/dataset/train\69546.jpg,0.0
23,../../data/ava/dataset/train\65748.jpg,0.0
24,../../data/ava/dataset/train\707395.jpg,0.0
25,../../data/ava/dataset/train\126308.jpg,0.0
26,../../data/ava/dataset/train\626296.jpg,0.0
27,../../data/ava/dataset/train\414533.jpg,0.0
28,../../data/ava/dataset/train\397555.jpg,0.0
29,../../data/ava/dataset/train\861045.jpg,0.0
30,../../data/ava/dataset/train\812979.jpg,0.0
31,../../data/ava/dataset/train\704462.jpg,0.0
32,../../data/ava/dataset/train\511482.jpg,0.0
33,../../data/ava/dataset/train\750781.jpg,0.0
34,../../data/ava/dataset/train\113663.jpg,0.0
35,../../data/ava/dataset/train\524206.jpg,0.0
36,../../data/ava/dataset/train\330841.jpg,0.0
37,../../data/ava/dataset/train\256411.jpg,0.0
38,../../data/ava/dataset/train\460855.jpg,0.0
39,../../data/ava/dataset/train\823003.jpg,0.0
40,../../data/ava/dataset/train\375722.jpg,0.0
41,../../data/ava/dataset/train\52376.jpg,0.0
42,../../data/ava/dataset/train\723747.jpg,0.0
43,../../data/ava/dataset/train\874909.jpg,0.0
44,../../data/ava/dataset/train\682600.jpg,0.0
45,../../data/ava/dataset/train\121911.jpg,0.0
46,../../data/ava/dataset/train\685379.jpg,0.0
47,../../data/ava/dataset/train\857239.jpg,0.0
48,../../data/ava/dataset/train\556761.jpg,0.0
49,../../data/ava/dataset/train\110067.jpg,0.0
50,../../data/ava/dataset/train\631470.jpg,0.0
51,../../data/ava/dataset/train\159682.jpg,0.0
52,../../data/ava/dataset/train\5550.jpg,0.0
53,../../data/ava/dataset/train\12865.jpg,0.0
54,../../data/ava/dataset/train\751677.jpg,0.0
55,../../data/ava/dataset/train\4585.jpg,0.0
56,../../data/ava/dataset/train\502397.jpg,0.0
57,../../data/ava/dataset/train\201388.jpg,0.0
58,../../data/ava/dataset/train\638113.jpg,0.0
59,../../data/ava/dataset/train\388698.jpg,0.0
60,../../data/ava/dataset/train\80270.jpg,0.0
61,../../data/ava/dataset/train\484401.jpg,0.0
62,../../data/ava/dataset/train\927679.jpg,0.0
63,../../data/ava/dataset/train\422506.jpg,0.0
64,../../data/ava/dataset/train\522106.jpg,0.0
65,../../data/ava/dataset/train\101375.jpg,0.0
66,../../data/ava/dataset/train\76291.jpg,0.0
67,../../data/ava/dataset/train\150827.jpg,0.0
68,../../data/ava/dataset/train\317236.jpg,0.0
69,../../data/ava/dataset/train\816871.jpg,0.0
70,../../data/ava/dataset/train\560645.jpg,0.0
71,../../data/ava/dataset/train\1901.jpg,0.0
72,../../data/ava/dataset/train\291765.jpg,0.0
73,../../data/ava/dataset/train\167350.jpg,0.0
74,../../data/ava/dataset/train\49356.jpg,0.0
75,../../data/ava/dataset/train\939176.jpg,0.0
76,../../data/ava/dataset/train\722575.jpg,0.0
77,../../data/ava/dataset/train\324689.jpg,0.0
78,../../data/ava/dataset/train\655020.jpg,0.0
79,../../data/ava/dataset/train\294580.jpg,0.0
80,../../data/ava/dataset/train\426551.jpg,0.0
81,../../data/ava/dataset/train\135555.jpg,0.0
82,../../data/ava/dataset/train\372459.jpg,0.0
83,../../data/ava/dataset/train\673603.jpg,0.0
84,../../data/ava/dataset/train\47816.jpg,0.0
85,../../data/ava/dataset/train\17904.jpg,0.0
86,../../data/ava/dataset/train\925093.jpg,0.0
