,id,label
0,../../datasets/ava/train\780469.jpg,0.0
1,../../datasets/ava/train\498507.jpg,0.0
2,../../datasets/ava/train\296019.jpg,0.0
3,../../datasets/ava/train\441688.jpg,0.0
4,../../datasets/ava/train\300822.jpg,0.0
5,../../datasets/ava/train\200586.jpg,0.0
6,../../datasets/ava/train\127472.jpg,0.0
7,../../datasets/ava/train\529052.jpg,0.0
8,../../datasets/ava/train\52937.jpg,0.0
9,../../datasets/ava/train\413585.jpg,0.0
10,../../datasets/ava/train\376610.jpg,0.0
11,../../datasets/ava/train\101408.jpg,0.0
12,../../datasets/ava/train\858923.jpg,0.0
13,../../datasets/ava/train\556528.jpg,0.0
14,../../datasets/ava/train\267095.jpg,0.0
15,../../datasets/ava/train\80715.jpg,0.0
16,../../datasets/ava/train\912131.jpg,0.0
17,../../datasets/ava/train\400662.jpg,0.0
18,../../datasets/ava/train\402055.jpg,0.0
19,../../datasets/ava/train\894.jpg,0.0
20,../../datasets/ava/train\558272.jpg,0.0
21,../../datasets/ava/train\879542.jpg,0.0
22,../../datasets/ava/train\69546.jpg,0.0
23,../../datasets/ava/train\65748.jpg,0.0
24,../../datasets/ava/train\707395.jpg,0.0
25,../../datasets/ava/train\126308.jpg,0.0
26,../../datasets/ava/train\626296.jpg,0.0
27,../../datasets/ava/train\414533.jpg,0.0
28,../../datasets/ava/train\397555.jpg,0.0
29,../../datasets/ava/train\861045.jpg,0.0
30,../../datasets/ava/train\812979.jpg,0.0
31,../../datasets/ava/train\704462.jpg,0.0
32,../../datasets/ava/train\511482.jpg,0.0
33,../../datasets/ava/train\750781.jpg,0.0
34,../../datasets/ava/train\113663.jpg,0.0
35,../../datasets/ava/train\524206.jpg,0.0
36,../../datasets/ava/train\330841.jpg,0.0
37,../../datasets/ava/train\256411.jpg,0.0
38,../../datasets/ava/train\460855.jpg,0.0
39,../../datasets/ava/train\823003.jpg,0.0
40,../../datasets/ava/train\375722.jpg,0.0
41,../../datasets/ava/train\52376.jpg,0.0
42,../../datasets/ava/train\723747.jpg,0.0
43,../../datasets/ava/train\874909.jpg,0.0
44,../../datasets/ava/train\682600.jpg,0.0
45,../../datasets/ava/train\121911.jpg,0.0
46,../../datasets/ava/train\685379.jpg,0.0
