,Unnamed: 0,id,timestamp,approved,cluster
7125,7125,rejected-1.jpg,2013:05:18 08:42:03,0.0,0.0
30740,30740,rejected-5.jpg,2013:05:18 08:43:02,0.0,0.0
31657,31657,rejected-6.jpg,2013:05:18 08:43:29,0.0,0.0
24680,24680,rejected-3.jpg,2013:05:18 08:42:10,0.0,0.0
16030,16030,rejected-2.jpg,2013:05:18 08:42:03,0.0,0.0
6202,6202,untitled-8348.jpg,2021:03:13 14:09:37,1.0,0.0
29635,29635,rejected-4.jpg,2013:05:18 08:42:58,0.0,0.0
32757,32757,rejected-7.jpg,2013:05:18 08:44:47,0.0,1.0
8815,8815,rejected-12.jpg,2013:05:18 08:46:22,0.0,1.0
12344,12344,rejected-16.jpg,2013:05:18 08:46:46,0.0,1.0
9731,9731,rejected-13.jpg,2013:05:18 08:46:29,0.0,1.0
11501,11501,rejected-15.jpg,2013:05:18 08:46:41,0.0,1.0
7879,7879,rejected-11.jpg,2013:05:18 08:46:18,0.0,1.0
33769,33769,rejected-8.jpg,2013:05:18 08:45:39,0.0,1.0
7126,7126,rejected-10.jpg,2013:05:18 08:45:39,0.0,1.0
10463,10463,rejected-14.jpg,2013:05:18 08:46:29,0.0,1.0
34732,34732,rejected-9.jpg,2013:05:18 08:45:39,0.0,1.0
14919,14919,rejected-19.jpg,2013:05:18 08:49:59,0.0,2.0
21727,21727,rejected-26.jpg,2013:05:18 08:51:45,0.0,2.0
19532,19532,rejected-24.jpg,2013:05:18 08:51:05,0.0,2.0
12745,12745,rejected-17.jpg,2013:05:18 08:49:36,0.0,2.0
18220,18220,rejected-22.jpg,2013:05:18 08:50:51,0.0,2.0
17142,17142,rejected-21.jpg,2013:05:18 08:50:43,0.0,2.0
20641,20641,rejected-25.jpg,2013:05:18 08:51:42,0.0,2.0
18915,18915,rejected-23.jpg,2013:05:18 08:50:57,0.0,2.0
13855,13855,rejected-18.jpg,2013:05:18 08:49:36,0.0,2.0
16031,16031,rejected-20.jpg,2013:05:18 08:50:38,0.0,2.0
24681,24681,rejected-30.jpg,2013:05:18 08:54:05,0.0,3.0
24437,24437,rejected-29.jpg,2013:05:18 08:54:05,0.0,3.0
23944,23944,rejected-28.jpg,2013:05:18 08:53:38,0.0,3.0
22833,22833,rejected-27.jpg,2013:05:18 08:53:27,0.0,3.0
26884,26884,rejected-32.jpg,2013:05:18 08:54:45,0.0,3.0
28996,28996,rejected-34.jpg,2013:05:18 08:55:00,0.0,3.0
25776,25776,rejected-31.jpg,2013:05:18 08:54:40,0.0,3.0
27995,27995,rejected-33.jpg,2013:05:18 08:54:46,0.0,3.0
29328,29328,rejected-37.jpg,2013:05:18 09:00:17,0.0,4.0
29106,29106,rejected-35.jpg,2013:05:18 08:59:25,0.0,4.0
29217,29217,rejected-36.jpg,2013:05:18 08:59:57,0.0,4.0
29432,29432,rejected-38.jpg,2013:05:18 09:01:08,0.0,4.0
30296,30296,rejected-46.jpg,2013:05:18 09:03:53,0.0,5.0
29747,29747,rejected-41.jpg,2013:05:18 09:02:34,0.0,5.0
29857,29857,rejected-42.jpg,2013:05:18 09:02:40,0.0,5.0
29968,29968,rejected-43.jpg,2013:05:18 09:02:40,0.0,5.0
29636,29636,rejected-40.jpg,2013:05:18 09:02:28,0.0,5.0
29524,29524,rejected-39.jpg,2013:05:18 09:02:28,0.0,5.0
30079,30079,rejected-44.jpg,2013:05:18 09:03:16,0.0,5.0
30407,30407,rejected-47.jpg,2013:05:18 09:04:09,0.0,5.0
30185,30185,rejected-45.jpg,2013:05:18 09:03:49,0.0,5.0
30944,30944,rejected-52.jpg,2013:05:18 09:08:35,0.0,6.0
30629,30629,rejected-49.jpg,2013:05:18 09:07:28,0.0,6.0
30518,30518,rejected-48.jpg,2013:05:18 09:07:07,0.0,6.0
30741,30741,rejected-50.jpg,2013:05:18 09:08:25,0.0,6.0
30835,30835,rejected-51.jpg,2013:05:18 09:08:26,0.0,6.0
31053,31053,rejected-53.jpg,2013:05:18 09:08:50,0.0,6.0
31164,31164,rejected-54.jpg,2013:05:18 09:08:51,0.0,6.0
31275,31275,rejected-55.jpg,2013:05:18 09:09:02,0.0,6.0
31386,31386,rejected-56.jpg,2013:05:18 09:09:54,0.0,6.0
31439,31439,rejected-58.jpg,2013:05:18 09:09:55,0.0,6.0
31428,31428,rejected-57.jpg,2013:05:18 09:09:55,0.0,6.0
31546,31546,rejected-59.jpg,2013:05:18 09:10:02,0.0,6.0
31658,31658,rejected-60.jpg,2013:05:18 09:11:04,0.0,7.0
31982,31982,rejected-63.jpg,2013:05:18 09:13:07,0.0,8.0
32092,32092,rejected-64.jpg,2013:05:18 09:13:09,0.0,8.0
32203,32203,rejected-65.jpg,2013:05:18 09:13:09,0.0,8.0
31871,31871,rejected-62.jpg,2013:05:18 09:12:43,0.0,8.0
32425,32425,rejected-67.jpg,2013:05:18 09:13:33,0.0,8.0
32536,32536,rejected-68.jpg,2013:05:18 09:13:53,0.0,8.0
32314,32314,rejected-66.jpg,2013:05:18 09:13:13,0.0,8.0
31762,31762,rejected-61.jpg,2013:05:18 09:12:40,0.0,8.0
32758,32758,rejected-70.jpg,2013:05:18 09:17:32,0.0,9.0
32647,32647,rejected-69.jpg,2013:05:18 09:17:29,0.0,9.0
32868,32868,rejected-71.jpg,2013:05:18 09:17:35,0.0,9.0
32979,32979,rejected-72.jpg,2013:05:18 09:19:11,0.0,10.0
33090,33090,rejected-73.jpg,2013:05:18 09:20:24,0.0,11.0
33199,33199,rejected-74.jpg,2013:05:18 09:22:00,0.0,12.0
33532,33532,rejected-77.jpg,2013:05:18 09:24:37,0.0,13.0
33421,33421,rejected-76.jpg,2013:05:18 09:24:29,0.0,13.0
33310,33310,rejected-75.jpg,2013:05:18 09:24:26,0.0,13.0
33932,33932,rejected-82.jpg,2013:05:18 09:26:43,0.0,14.0
33643,33643,rejected-78.jpg,2013:05:18 09:25:48,0.0,14.0
33753,33753,rejected-79.jpg,2013:05:18 09:25:57,0.0,14.0
33821,33821,rejected-81.jpg,2013:05:18 09:26:03,0.0,14.0
34263,34263,rejected-85.jpg,2013:05:18 09:26:58,0.0,14.0
34043,34043,rejected-83.jpg,2013:05:18 09:26:43,0.0,14.0
34154,34154,rejected-84.jpg,2013:05:18 09:26:58,0.0,14.0
33770,33770,rejected-80.jpg,2013:05:18 09:26:01,0.0,14.0
34632,34632,rejected-89.jpg,2013:05:18 09:30:45,0.0,15.0
34483,34483,rejected-87.jpg,2013:05:18 09:30:41,0.0,15.0
34594,34594,rejected-88.jpg,2013:05:18 09:30:41,0.0,15.0
34374,34374,rejected-86.jpg,2013:05:18 09:30:40,0.0,15.0
34733,34733,rejected-90.jpg,2013:05:18 09:32:00,0.0,16.0
34844,34844,rejected-91.jpg,2013:05:18 09:34:08,0.0,17.0
34954,34954,rejected-92.jpg,2013:05:18 09:35:16,0.0,18.0
35176,35176,rejected-94.jpg,2013:05:18 09:38:43,0.0,19.0
35065,35065,rejected-93.jpg,2013:05:18 09:38:03,0.0,19.0
35287,35287,rejected-95.jpg,2013:05:18 09:50:58,0.0,20.0
35470,35470,rejected-97.jpg,2013:05:18 09:54:59,0.0,21.0
35581,35581,rejected-98.jpg,2013:05:18 09:55:36,0.0,21.0
35360,35360,rejected-96.jpg,2013:05:18 09:54:16,0.0,21.0
35626,35626,rejected-99.jpg,2013:05:18 09:57:02,0.0,22.0
7127,7127,rejected-100.jpg,2013:05:18 09:59:59,0.0,23.0
